Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
65114 "1415783_at"	1575.6	1841.9	1870.3	1947.2	2072.6	1955.9
65114 "1415784_at"	163.7	240	344.5	330.1	318.7	296.9
12469 "1415785_a_at"	2544.1	2893.2	2726.1	2513	2420.6	2576.4
109820 "1415786_at"	3.3	3.5	1.7	1.6	6.1	9.5
14376 "1415787_at"	483.8	457.5	455.5	451.5	456.8	440.7
79560 "1415788_at"	514.3	563.1	468.6	598.2	525	607.6
NA "1415789_a_at"	249	239.8	298.3	297.4	315.1	325.9
79560 "1415790_at"	146.3	143.4	180.9	270.2	210.7	249.8
80751 "1415791_at"	330.2	359.4	402.4	411.5	414.2	420.3
24105 "1415792_at"	307.8	207.7	200.9	227.9	220	233.1
103711 "1415793_at"	134.6	166.3	132.1	189	165.3	200.5
20729 "1415794_a_at"	1391.6	1563.5	1470.3	1704.4	1813.2	1833.6
20729 "1415795_at"	227.8	169	237.9	230.3	240.6	210
23994 "1415796_at"	1219.8	1400.5	1305.7	1306.7	1258.1	1460.7
12305 "1415797_at"	291.3	151.8	155.1	132.5	123.1	162.3
12305 "1415798_at"	121.4	71.4	80.6	75	67.3	72.8
60321 "1415799_at"	1153.3	998.7	969.3	950.3	938.5	1032.7
14609 "1415800_at"	2125.5	2455.8	2375.5	2224.3	2053.3	2035.8
14609 "1415801_at"	201.7	202.6	228	253.3	197.8	181.3
20501 "1415802_at"	681.4	1003.8	769.5	848.1	691.4	920.5
20312 "1415803_at"	30.9	5.1	17.5	20.5	24.7	23.8
20312 "1415804_at"	25.6	14.1	11.2	29.7	12.4	12
109791 "1415805_at"	1.8	20.6	9.4	5.3	6.6	4.7
18791 "1415806_at"	624.3	563.8	631.4	650	692.4	730.1
20382 "1415807_s_at"	1290	1407.8	1420.2	1380.2	1184.4	1308.9
21984 "1415808_at"	4.7	3.1	1.5	1.4	12.5	3.8
21984 "1415809_at"	0.8	2.7	1	2.7	8.6	0.7
18140 "1415810_at"	1254.6	1577.3	1309.7	1200.4	1102.4	1339.8
18140 "1415811_at"	417.2	357.6	349.3	352	264.4	310
227753 "1415812_at"	500	207.2	238.1	249.9	365.4	265.8
11800 "1415813_at"	1095	1205.3	1137.4	1070.5	1016.7	1144.1
11966 "1415814_at"	528.9	542.2	564.1	594.5	537.4	611.2
19720 "1415815_at"	26.6	31.3	17.2	12.4	18.9	11.3
12468 "1415816_at"	2924.8	3446.7	2946.5	2864.2	2662	3010.2
12468 "1415817_s_at"	1791.6	1858.8	1686.3	1880.7	1922.4	1730.9
11749 "1415818_at"	876.1	509.5	502.2	418.1	542	453.7
51792 "1415819_a_at"	1865.2	1752	1532.9	1575.7	1507	1742
53610 "1415820_x_at"	2568.4	2939.2	2918	2854.3	2854.8	2787
20320 "1415821_at"	1371.2	1114.4	1268	1194.8	1373.9	1160.4
20250 "1415822_at"	4884.3	5485.1	4843.8	4543.6	4586.6	4658.5
20250 "1415823_at"	1696.1	1533.4	1560.3	1392.5	1289.3	1370.9
20250 "1415824_at"	469.5	304	442.2	385	337	360.1
104318 "1415825_s_at"	823.2	770.4	692.3	630.9	631.3	667.1
108664 "1415826_at"	318.4	357.1	269.1	282.7	292.1	315
28146 "1415827_a_at"	995.3	1233.2	1154.8	1156	1121.2	1236.7
28146 "1415828_a_at"	689.5	696.9	829.6	798.5	751.8	700.1
98386 "1415829_at"	1197.8	1324.5	1273.7	1328.3	1217	1333.8
26429 "1415830_at"	287.8	373.8	339.3	371.4	378.8	425.4
21762 "1415831_at"	1615	1989.1	1869.8	1862.2	1711.6	1929.7
11609 "1415832_at"	787.7	266.7	372.8	613.2	725.7	274.9
NA "1415833_x_at"	9117.6	9131.7	8029.8	8556.4	8258.7	8308.5
67603 "1415834_at"	541.5	603.9	596.5	661.5	545.8	613.7
18776 "1415835_at"	20.1	14	20.3	14.9	8.8	19.3
56454 "1415836_at"	263.9	206.9	179.2	164.8	204.1	182.3
16612 "1415837_at"	7.9	0.4	3.2	0.9	1.5	7.4
56442 "1415838_at"	1108.2	1098	1103.4	1104.1	1175.8	1159.8
18148 "1415839_a_at"	8695	9212.1	8581	8661.1	8210.8	8643.8
68801 "1415840_at"	1223.6	1299.5	1129.6	1240.5	1246.5	1358.1
13427 "1415841_at"	954.4	1008.6	1080.4	1058.5	1146.4	1093
56716 "1415842_at"	142.5	150.9	124.9	143.8	122.3	135.4
56716 "1415843_at"	64.4	45.6	60.1	70.7	48	51.9
20983 "1415844_at"	14.2	17.7	25.9	15.4	21.7	25.3
20983 "1415845_at"	23.4	21.7	2.2	10.2	23.7	20.8
16833 "1415846_a_at"	0.6	0.5	0.3	0.3	6.7	3.1
16833 "1415847_at"	21.1	10.3	10.1	6.6	6	11.4
18775 "1415848_at"	3.1	19.6	7.8	1.6	3.9	9.4
16765 "1415849_s_at"	5980.1	6959.2	6548.9	6920.1	6678.8	6952.8
19414 "1415850_at"	200.9	134.4	147.1	158.7	135.2	163
23918 "1415851_a_at"	1784	2668.4	2154.4	2175.7	1964.2	2293.6
23918 "1415852_at"	2076.1	2535.6	2130.6	2157.8	1997.7	2309.9
23854 "1415853_at"	78.6	73.3	92.5	106.5	73.8	71.2
17311 "1415854_at"	66.9	17	42.9	25.8	31.2	33.3
17311 "1415855_at"	888.5	791.7	766.6	754.9	666.5	825.8
13723 "1415856_at"	153.1	128.1	140.7	193.4	159.2	170.1
13723 "1415857_at"	187.4	214.3	180.8	232.8	178.8	193.6
56347 "1415858_at"	2615.4	3115	2651.9	2875	2730.9	2801.5
56347 "1415859_at"	731.9	639.3	876.7	921.5	717.3	802.8
NA "1415860_at"	2852.2	3836.5	3260.1	3316.8	3118.4	3386.9
22178 "1415861_at"	1.1	0.3	1.1	6.3	9.3	1.6
22178 "1415862_at"	3.5	2.1	4.5	1.7	4.3	6.2
13690 "1415863_at"	3957.8	4344.5	3839.5	3525.9	3819.8	3643.3
12183 "1415864_at"	181.6	295.5	190.8	317.7	214.3	343
12183 "1415865_s_at"	232	288.1	254.6	354.1	262.5	419.6
101869 "1415866_at"	101.8	96	82.5	77.7	103	90.7
12464 "1415867_at"	3669.4	4177.4	3641.3	3718.4	3453.9	3969.4
